target,n_c1,n_c2,total,log2_ratio,word_type,bin,cosine_distance,intra_variance_c1,intra_variance_c2,pos_tag,stance_count,iaa,keyness
membre,383,399,782,-0.058893689,control,6,0.002107978,0.262354553,0.272682428,NN,,,0.052631389
tissu,47,50,97,-0.087462841,control,,0.009914517,0.275925219,0.24325943,NN,,,0.033823663
œuf,54,57,111,-0.076621282,control,,0.004179537,0.184331432,0.18257153,NN,,,0.024219969
drone,68,68,136,0,control,,0.001609266,0.1269954,0.140323147,NN,,,0.020436758284295697
livret,35,37,72,-0.078002512,control,,0.008804739,0.197978512,0.188829958,NN,,,0.017348097402970053
ambassade,31,31,62,0,control,,0.005966902,0.135725424,0.145272344,NN,,,0.009316656
casserole,47,49,96,-0.058893689,control,,0.005497217,0.19465512,0.181876719,NN,,,0.007061406
calendrier,52,54,106,-0.053439259,control,,0.013817787,0.215567097,0.198379695,NN,,,0.004632459
bouteille,73,74,147,-0.019365325,control,,0.003617942,0.190572888,0.191114023,NN,,,0.004375139
mythe,72,73,145,-0.019628807,control,,0.004134119,0.157165796,0.16593273,NN,,,0.004168432
température,54,56,110,-0.051530301,control,,0.005367994,0.157607243,0.178261757,NN,,,0.003861069
méthode,242,249,491,-0.040971781,control,5,0.001820505,0.21419929,0.217300564,NN,,,0.001961967
pilote,52,53,105,-0.026967048,control,,0.004559636,0.193345085,0.194957346,NN,,,0.000785011
forme,420,430,850,-0.033867636,control,6,0.007202506,0.330353171,0.35277611,NN,,,0.000206806
tournant,37,38,75,-0.037474705,control,,0.010775864,0.24416858,0.278200686,NN,,,8.67564764602119e-05
civilisation,59,378,437,-2.659163443,pd,4,0.002110362,0.141463891,0.142908648,NN,1,0.65,252.13772728701719
wokisme,78,243,321,-1.626956589,pd,3,0.001779556,0.079147048,0.084893636,NN,2,0.51,85.01648844174473
racine,55,192,247,-1.785102115,pd,1,0.01133126,0.24766846,0.217041358,NN,2,0.453,77.14267887086744
woke,79,200,279,-1.329123596,pd,2,0.002855182,0.119193502,0.12978448,NN,2,0.51,51.33706810211831
déclin,37,121,158,-1.682809824,pd,,0.004839897,0.133405596,0.127287492,NN,2,0.891,45.009024060652884
décadence,26,92,118,-1.784271309,pd,,0.004613042,0.097561061,0.109565489,NN,2,0.891,37.53150555532215
wokiste,20,73,93,-1.817135943,pd,,0.010286689,0.114272729,0.099401511,NN,2,0.51,30.813209568960836
quartier populaire,56,13,69,2.025535092,pd,,0.005410552,0.084701918,0.111574978,NN,1,0.736,29.94057011633881
biologique,30,85,115,-1.472068444,pd,,0.003639877,0.195830241,0.185431853,NN,1,0.671,26.081287677253428
antisémite,610,796,1406,-0.383407344,pd,7,0.00346148,0.09918651,0.107669585,NN,2,1,20.333571549882265
droit des femmes,75,48,123,0.633217669,pd,,0.003002524,0.072351828,0.076848291,NN,1,0.777,6.655931457876903
classe populaire,39,22,61,0.798366139,pd,,0.005623817,0.068961941,0.106344745,NN,1,0.736,5.227023061026102
génétique,46,56,102,-0.278301162,pd,,0.009663701,0.163051322,0.174209714,NN,1,0.671,0.7521371723348267
fascisme,254,242,496,0.069540933,pd,5,0.002831399,0.089203395,0.092607714,NN,1,0.934,0.6591359631067597
fasciste,402,419,821,-0.059609489,pd,6,0.001161873,0.129538953,0.137230307,NN,1,0.934,0.058622154442076635
,,,,,,,0.004840747,,,,,,0
